,state,2012
0,California,865162
1,Colorado,168214
2,Connecticut,71540
3,Delaware,18567
4,District of Columbia,15129
5,Florida,404287
6,Georgia,201470
7,Hawaii,29476
8,Idaho,41017
9,Illinois,244042
10,Indiana,98314
11,Iowa,71929
12,Kansas,56326
13,Kentucky,56597
14,Louisiana,46945
15,Maine,33228
16,Maryland,121882
17,Massachusetts,137047
18,Michigan,153937
19,Minnesota,146228
20,Mississippi,28231
21,Missouri,120239
22,Montana,31067
23,Nebraska,46201
24,Nevada,37564
25,New Hampshire,39485
26,New Jersey,168645
27,New Mexico,39294
28,New York,349533
29,North Carolina,191369
30,North Dakota,20982
31,Ohio,178626
32,Oklahoma,55872
33,Oregon,104688
34,Pennsylvania,226703
35,Rhode Island,18165
36,South Carolina,68210
37,South Dakota,24290
38,Tennessee,101618
39,Texas,455654
40,Utah,61813
41,Vermont,23193
42,Virginia,187750
43,Washington,175237
44,West Virginia,21171
45,Wisconsin,109393
46,Wyoming,15788
47,Puerto Rico,21207
48,Alabama,50955
49,Alaska,19899
50,Arizona,148304
51,Arkansas,42667
