,state,2015
0,Alabama,2011723
1,Alaska,363075
2,Arizona,2899727
3,Arkansas,1253288
4,California,17633846
5,Colorado,2740368
6,Connecticut,1773121
7,Delaware,441183
8,District of Columbia,358150
9,Florida,8880102
10,Georgia,4555243
11,Hawaii,704914
12,Idaho,734911
13,Illinois,6094828
14,Indiana,3063590
15,Iowa,1574828
16,Kansas,1413917
17,Kentucky,1898550
18,Louisiana,2014335
19,Maine,636271
20,Maryland,3001281
21,Massachusetts,3450540
22,Michigan,4420474
23,Minnesota,2861003
24,Mississippi,1193907
25,Missouri,2852887
26,Montana,484043
27,Nebraska,974005
28,Nevada,1314988
29,New Hampshire,696314
30,New Jersey,4285182
31,New Mexico,877360
32,New York,9276438
33,North Carolina,4524800
34,North Dakota,404165
35,Ohio,5381435
36,Oklahoma,1739806
37,Oregon,1839706
38,Pennsylvania,5977629
39,Rhode Island,509823
40,South Carolina,2145374
41,South Dakota,430868
42,Tennessee,2954054
43,Texas,12556719
44,Utah,1394977
45,Vermont,320350
46,Virginia,4116194
47,Washington,3370945
48,West Virginia,721699
49,Wisconsin,2912061
50,Wyoming,289163
51,Puerto Rico,999029
