,state,2018
0,Maine,27056
1,North Carolina,87368
2,Georgia,73027
3,Alaska,27597
4,Alabama,22416
5,Vermont,16920
6,Nevada,25010
7,West Virginia,19114
8,Oklahoma,35111
9,Wisconsin,86491
10,Puerto Rico,20540
11,Virginia,93874
12,North Dakota,13525
13,South Carolina,47618
14,Oregon,78004
15,Wyoming,12127
16,California,489073
17,Mississippi,16692
18,Connecticut,47111
19,Texas,195470
20,Maryland,64267
21,Florida,130643
22,Massachusetts,181070
23,District of Columbia,50327
24,Utah,36626
25,New York,555976
26,New Jersey,112666
27,Ohio,121772
28,Missouri,59060
29,Pennsylvania,216820
30,Michigan,104812
31,Nebraska,24350
32,Idaho,19701
33,New Mexico,15686
34,Hawaii,25879
35,South Dakota,12744
36,Washington,134410
37,Rhode Island,17903
38,Arizona,55276
39,Tennessee,40058
40,Kansas,31124
41,Colorado,88231
42,Indiana,61795
43,Kentucky,38690
44,Louisiana,35902
45,Illinois,171445
46,Iowa,47472
47,New Hampshire,18327
48,Arkansas,20052
49,Delaware,10720
50,Minnesota,80543
51,Montana,28187
